rownames,love,death,night,heaven,romeo,juliet,benvolio,mercutio
1,35,4,14,1,62,26,39,14
2,52,5,22,5,104,48,20,39
3,28,24,19,13,89,53,21,30
4,13,16,10,5,8,29,0,0
5,7,20,3,4,31,21,0,0
