"",".rownames","X1","X2","X3","X4","X5"
"196","cannot",5,8,5,2,1
"197","canst",1,1,3,2,0
"198","capulet",41,3,36,44,9
"199","capulethold",1,0,0,0,0
"200","capulets",4,3,5,3,2
"201","care",1,2,3,0,0
"202","carriage",1,0,0,0,0
"203","carry",1,0,0,1,0
"204","case",2,2,3,2,0
"205","cast",1,1,1,0,0
"206","cause",2,1,1,1,0
"207","chamber",2,0,5,3,0
"208","chance",1,0,0,1,1
"209","change",1,1,1,2,0
"210","chaos",1,0,0,0,0
"211","chariot",1,0,0,0,0
"212","chaste",1,0,0,0,0
"213","chastity",1,0,0,0,0
"214","cheek",1,5,0,0,0
"215","cheerly",2,0,0,0,0
"216","child",2,0,5,8,0
"217","childish",1,0,0,0,0
"218","children",1,1,0,0,0
"219","childrens",1,0,0,0,0
"220","chinks",1,0,0,0,0
"221","choice",1,1,0,0,0
"222","choking",1,0,0,0,0
"223","choler",2,0,0,0,0
"224","choose",1,1,1,0,0
"225","christian",1,0,0,0,0
"226","citizen",1,0,2,0,0
"227","citizens",2,0,2,0,0
"228","citys",1,0,0,0,0
"229","civil",3,0,1,0,0
"230","clasps",1,0,0,0,0
"231","close",2,1,2,0,1
"232","closed",1,0,0,0,2
"233","clouds",2,2,3,1,0
"234","clubs",2,0,0,0,0
"235","coachmakers",1,0,0,0,0
"236","coals",1,0,0,0,0
"237","cockahoop",1,0,0,0,0
"238","cockerels",1,0,0,0,0
"239","cold",1,1,1,4,0
"240","collar",1,0,0,0,0
"241","collars",1,0,0,0,0
"242","colliers",1,0,0,0,0
"243","come",22,20,27,12,16
"244","comes",6,5,7,4,5
"245","comest",1,0,0,0,0
"246","comfort",1,0,7,2,0
"247","common",2,0,0,0,0
"248","compare",1,1,1,0,0
"249","consent",3,1,0,1,0
"250","consequence",1,0,0,0,0
"251","constables",1,0,0,0,0
"252","content",2,0,1,0,0
"253","continuance",1,0,0,0,0
"254","contrary",1,0,1,1,0
"255","convert",1,0,0,0,0
"256","corns",2,0,0,0,0
"257","could",6,1,6,2,2
"258","counsel",2,3,2,1,0
"259","counsellor",1,0,1,0,0
"260","count",1,1,2,0,0
"261","county",2,0,2,8,4
"262","course",1,0,0,1,2
"263","courtcupboard",1,0,0,0,0
"264","courtiers",2,0,0,0,0
"265","courtsies",1,0,0,0,0
"266","cousin",4,1,9,0,2
"267","cover",2,0,0,0,0
"268","coverd",1,0,0,0,0
"269","covert",1,0,0,0,0
"270","coward",1,0,0,0,0
"271","coz",4,0,0,0,0
"272","craves",1,0,1,1,0
"273","create",1,0,0,0,0
"274","crickets",1,0,0,0,0
"275","cried",1,0,0,0,0
"276","crow",1,0,0,0,2
"277","crowkeeper",1,0,0,0,0
"278","crows",1,0,0,0,0
"279","cruel",1,0,0,3,0
"280","crush",1,0,0,0,0
"281","crutch",2,0,0,0,0
"282","crying",2,0,0,0,0
"283","crystal",1,0,0,0,0
"284","cup",1,0,1,0,1
"285","cupid",1,2,0,0,0
"286","cupids",2,0,0,0,0
"287","cure",1,0,0,2,0
"288","cures",1,0,0,0,0
"289","curious",1,0,0,0,0
"290","cursed",1,0,1,0,1
"291","curtains",1,0,0,2,0
"292","cut",2,0,1,0,1
"293","cuts",1,0,0,0,0
"294","cutting",1,0,0,0,0
"295","dainty",1,0,0,0,0
"296","dance",4,0,1,0,0
"297","danced",1,0,0,0,0
"298","dancing",2,0,0,0,0
"299","dare",1,2,0,0,2
"300","dares",1,2,1,0,0
"301","dark",1,3,2,0,1
"302","date",2,0,0,0,1
"303","daughter",3,2,3,4,1
"304","daughters",3,0,0,0,2
"305","day",5,1,17,18,1
"306","daylight",2,1,1,0,0
"307","days",5,2,4,0,1
"308","dead",2,3,14,12,16
"309","dear",3,12,7,1,3
"310","death",4,5,24,16,20
"311","deathmarkd",1,0,0,0,0
"312","debt",2,0,0,0,0
"313","dedicate",1,0,0,0,0
"314","deep",3,1,2,0,0
